Disease Name,Symptoms,Diagnosis,Treatments
"Histoplasmosis","Fever.
Cough.
Sweating.
Shortness of breath (dyspnea).
Chest pain.
Headache.
Muscle aches.
Rash or bumps on your lower legs (erythema nodosum).","Try to grow (culture) H. capsulatum. This is the best way to diagnose histoplasmosis. But this can take a long time — several weeks — and in severe cases, your provider will want to treat you before results are available.
Look for H. capsulatum yeast.
Test for signs of H. capsulatum in your body (antigens or antibodies).","Itraconazole.
Amphotericin B (AmB).
Corticosteroids."
"Ventricular Fibrillation","Heart disease.
Heart attack or chest pain (angina).
Diseases that change the structure of the heart by making its walls thicker or weaker.
Other arrhythmias or arrhythmia-causing conditions.
Heart surgery.
Certain medications.
Electrolyte imbalances (too much or too little potassium in your blood).
Electrical shock.
Being hit in the chest with a small, fast-moving object (this is called commotio cordis, and it happens most commonly in sports like baseball, hockey and lacrosse).","Ventricular fibrillation is usually confirmed by an electrocardiogram (ECG or EKG), especially after a person has been resuscitated from cardiac arrest. This is also useful to determine the heart’s ability to function going forward.","Stay calm and call 911.
Begin CPR: Chest compressions are an essential, life-saving step, especially until an AED can be used or until first responders arrive (whichever happens first).
Use an automated external defibrillator (AED): Ventricular fibrillation is one of the “shockable” arrhythmias, meaning an AED can help return a person to a normal heartbeat rhythm. When an AED is used in the first three minutes after a person collapses because of ventricular fibrillation, the survival rate of ventricular fibrillation can be as high as 95%."
"Factor V Leiden","Having additional genetic blood clotting disorders.
Undergoing surgery.
Being pregnant.
Taking estrogen-based therapies.","Activated protein C (APC) blood test: This coagulation factor screening test checks if your blood has resistance to activated protein C. This is a protein that prevents factor V from going into overdrive. About 9 in 10 people whose blood is resistant to protein C have the factor V Leiden mutation.
Genetic testing: If your blood is resistant to protein C, your provider will order genetic testing to check your F5 gene for the factor V Leiden mutation. In some cases, providers order this test without first ordering an APC blood test.","Effective measures to eliminate or reduce other risk factors for DVT or PE, such as smoking cessation, weight loss and having a more active lifestyle.
The need (or not) to wear graded elastic compression stockings during long-haul flights and long road trips.
Avoidance of alcohol-containing beverages during long flights.
Counseling prior to taking birth control pills or before becoming pregnant."
"Cholera","Diarrhea, or extremely watery poop.
Intense thirst.
Lower amounts of urine (pee).
Muscle cramps.
Restlessness or irritability.
Vomiting.
Weakness.","To test for cholera, a healthcare provider will need a sample of your stool. Often, you will poop into a collection cup or bag. Sometimes, a healthcare provider will insert a swab into your rectum (opening where poop comes out).","Oral rehydration solution (ORS): You may have to drink large amounts of a prepackaged mix of sugar, salts and water.
Intravenous fluids: For a severe case of dehydration, a healthcare provider may use a needle to pump fluids directly into your veins."
"Patellar Instability","Shallow or uneven trochlear groove.
Loose ligaments or extremely flexible joints.
Sharp blow to the kneecap during a fall, sports injury or other accident.","X-rays to see if the kneecap is out of place and check for broken bones.
MRI to check for injuries like anterior cruciate ligament (ACL) tears, meniscal tears and loose bone fragments.","Knee brace to immobilize the knee and keep the kneecap in place. You may need to wear a brace for several weeks and use crutches during this time.
Nonsteroidal anti-inflammatory drugs (NSAIDs), rest, elevation and ice packs to ease pain and swelling.
Physical therapy to strengthen muscles that hold the kneecap in place and improve range of motion."
"Pulmonary Embolism","Sudden shortness of breath — whether you’ve been active or at rest.
Unexplained sharp pain in your chest, arm, shoulder, neck or jaw. The pain may also be similar to symptoms of a heart attack.
Cough with or without bloody mucus.
Pale, clammy or bluish skin.
Rapid heartbeat (pulse).
Excessive sweating.
In some cases, feeling anxious, lightheaded, faint or passing out.
Wheezing.","Blood tests (including the D-dimer test).
Computed tomography (CT) angiogram.
Ultrasound of your leg. (This helps identify blood clots in people’s legs, or deep vein thrombosis, which can move to the lungs and become a PE and cause more damage.)
A ventilation/perfusion (V/Q) scan, if you’re unable to get contrast for a CT scan. (This is a nuclear scan that can detect clots in your lung.)","Healthcare providers usually treat a PE in a hospital, where they can monitor your condition closely."
"Alexander Disease","Hydrocephalus (buildup of fluid in your child’s brain).
Megalencephaly (enlarged brain and head).
Seizures (epilepsy).
Spasticity.
Developmental delays.
Failure to thrive or grow as expected.","MRI to check for changes in your brain.
Genetic test (a type of blood test) to look for the gene change that causes most cases of Alexander disease.","Anti-seizure medications.
Physical, occupational and speech therapies.
Shunt surgery to treat hydrocephalus by draining excess fluid from your brain."
"Wilms Tumor","A swollen spot or hard lump in your child’s abdomen (stomach area). The lump or swelling can be painful, but it’s usually not.
Pain in their abdomen.
Blood in their urine (hematuria).
Fever.
High blood pressure (hypertension). This in turn may cause your child to have nosebleeds, headaches and blood in their eye.","A physical exam that includes pressing down carefully on your child's abdomen.
Imaging tests like abdominal ultrasound, CT scan – usually with contrast. Your provider might order an X-ray or CT scan of your child's chest to find out if cancer has spread (metastasized) to their lungs. Imaging tests can show if your child has a tumor. Your provider can also use the tests to tell the difference between Wilms tumor and other types of kidney cancer.
Laboratory tests of blood and urine, including liver function and blood clotting tests.
A biopsy, which means that tissue from the tumor is removed and sent to the laboratory for testing.","Wilms tumor is almost always treated with a combination of surgery and chemotherapy. Sometimes, treatment will include radiation therapy."
"Warts","Direct contact with a wart.
Touching something contaminated with the virus, such as towels, doorknobs and shower floors.
Sexual intercourse (genital warts).
Nail biting and cuticle picking.
Shaving.","Your doctor can diagnose warts simply by looking at the bumps. Sometimes, your doctor may take a sample of the skin growth (biopsy) to test for HPV.","At-home wart removal: Over-the-counter (OTC) wart removal medications, such as Compound W®, contain salicylic acid. This chemical dissolves warts one layer at a time. These products come in liquid, gel and patch form. You may need to apply the medication every day for several months to get rid of the wart completely.
Freezing: During a procedure called cryotherapy, your doctor applies liquid nitrogen to freeze the wart. After freezing, a blister forms. Eventually, the blister and wart peel off. You may need several treatments.
Immunotherapy: For stubborn warts that don’t respond to traditional treatments, immunotherapy helps your immune system fight the virus. This process involves a topical chemical, such as diphencyprone (DCP). DCP causes a mild allergic reaction that makes the wart go away.
Laser treatment: Your doctor uses laser light to heat and destroy tiny blood vessels inside the wart. The process cuts off blood supply, killing the wart.
Topical medicine: Your doctor may apply a liquid mixture containing the chemical cantharidin. A blister forms under the wart and cuts off its blood supply. You must return to your doctor’s office in about a week to have the dead wart removed."
"Articulation Disorder","Addition: Adding sounds or syllables to words that don’t belong there (for example, “puh-lay” instead of “play”).
Distortion: Changing a sound, which might seem like a lisp (when “s” sounds like “th”).
Omission: Leaving certain sounds out of their speech altogether (for example, never using “sc” in “school or “scratch”).
Substitution: Always substituting one sound for another (for example, using “s” instead of “th” or “w” in place of “r”).","Ask your child to make certain sounds and form specific words.
Chat with your child to assess connected speech during conversation.
Perform standardized diagnostic testing.
Consider your child’s medical history, such as premature birth, previous ear infections and more.
Discuss any family history of speech disorders.
Look at the mouth’s structure for any issues that may be contributing (for example, with their teeth and palate).
Take your child’s accent and dialect into consideration.
Watch the movement of your child’s mouth during speech.","Identify the sounds they can’t make.
Correct the way they create sounds.
Re-learn ways to control the motor parts of speech (for example, moving their tongue, shaping their lips).
Strengthen the muscles involved in speech.
Practice sound formation at home."
"Childhood Apraxia of Speech","Limited inventory of consonants and vowels (how many sounds your child makes with specific letters) and gaps in types of sounds like saying “pie” instead of “bye.”
Limited rise and fall of voice (pitch) when speaking (intonation).
Only pronouncing words that have simple syllable shapes (part of a word that has one vowel sound), which are a combination of consonants “C” and vowels “V.” A simple syllable shape consists of words with one C and one V, like the words “me” or “up.”
Words appear then disappear quickly.
Your child leaves out sounds of words like saying “coo” instead of “school.”","Checking for signs of mouth muscle weakness.
Checking how well your child makes consonant and vowel sounds.
Looking at nonspeech oral motor skills such as blowing, smiling, rounding lips and how quickly your child can move their mouth.
Observing how your child pauses or changes the pitch of their voice.
Observing how well others can understand what your child is saying.","Enrolling in speech therapy to address syllables, words and phrases at a pace unique to fit the needs of your child.
Learning alternative means of communication like sign language or using electronic communication devices.
Practicing repetitive language exercises at home and outside of speech therapy."
"X-Linked Agammaglobulinemia","Bronchitis.
Ear infections (otitis media).
Sinusitis.
Pneumonia.
Gastrointestinal infections.","A healthcare provider can perform blood tests to determine whether you or your child have XLA. If test results show a low level of B-cells or antibodies, they’ll do genetic testing to look for DNA changes.","Replacement immunoglobulins (RIgG). Your healthcare provider gives you donor antibodies in a vein. You’ll need this treatment at least once per month.
Proactive treatment of infections. Your provider will treat bacterial infections with antibiotics as soon as they think you’re sick.
Avoiding live vaccinations. People with XLA can’t get vaccinated with live versions of vaccines, which can make them sick or even be fatal. This includes MMR, chickenpox (varicella) and oral polio vaccines."
"Fragile X Syndrome","Normal.
Gray zone.
Premutation carrier.
Full mutation.","Amniocentesis: The healthcare provider takes a sample of the amniotic fluid for testing.
Chorionic villus sampling: The healthcare provider takes a sample of cells from the placenta for testing.","Lithium carbonate.
Gabapentin (Neurontin®)."
"Triple X Syndrome","There’s a lot of variation among people with triple X syndrome. You may not experience any symptoms, or your symptoms might be so mild that you don’t notice them. Or you may have certain physical characteristics — or neurological (brain-related) or medical conditions — associated with triple X syndrome.","It’s quite common to remain undiagnosed, especially if you don’t exhibit medical or developmental issues. If your healthcare provider suspects that you (or your child) have trisomy X syndrome, they may order genetic testing. These tests might be called karyotype or chromosome microarray.","Renal ultrasound to look at the structure of your kidneys.
Cardiology consultation or EKG/echocardiogram to evaluate your heart.
Neurology consultation and neuropsychological testing."
"ALD (Adrenoleukodystrophy)","Childhood cerebral ALD: Boys with this form of ALD usually start showing neurological symptoms between ages 3 and 10. As infants, these children develop typically. Then they begin to regress, losing skills. Children often display behavioral problems, such as having difficulty paying attention in school. They may also have seizures. Children with this type typically pass away within a few years of developing symptoms.
ALD plus Addison’s disease: Along with neurological symptoms, ALD may cause adrenal insufficiency, or Addison’s disease. This condition means your adrenal glands don’t make enough of the hormone cortisol. Symptoms include decreased appetite and muscle weakness.
Adrenomyeloneuropathy (AMN) or adult-onset ALD: This milder form of ALD begins between ages 21 and 35. People with AMN have both adrenal and neurological problems. Adult-onset ALD progresses more slowly than childhood cerebral ALD, but adults can also have deteriorating brain function. Other symptoms include leg stiffness and pain in the hands and feet.","Blood test to measure levels of VLCFA.
Genetic test to look for gene changes linked to ALD or other conditions.
Adrenocorticotropic hormone (ACTH) stimulation test to check adrenal gland function.
MRI to see how ALD has affected the brain.","Adrenal hormone treatment: People with ALD need regular adrenal function testing. Corticosteroid replacement therapy can help treat adrenal insufficiency.
Stem cell transplant: Transplant is the only treatment that can slow the progression of ALD in children. If doctors diagnose ALD early enough, a transplant may stop the disease. Providers may recommend a stem cell transplant when an MRI shows evidence that ALD affects the brain, but the child does not show obvious symptoms during a neurological exam.
Medications: Providers can prescribe medications to help with symptoms such as seizures or muscle stiffness."
"Defecography","None","Defecography can be done by fluoroscopic X-ray or by MRI. Both kinds of imaging can visualize the inside mechanics of your body as you poop. X-ray is more commonly used, but some people may need to avoid the small radiation exposure that it produces.","None"
"Plague","Fever.
Chills.
Headaches and body aches.
Weakness and fatigue.
Dizziness
Nausea, vomiting and diarrhea.
Swollen, painful lymph nodes (bubonic plague).
Abdominal pain and bleeding from your nose, your mouth or under your skin (septicemic plague).
Shortness of breath, chest pain, cough and bloody or watery mucus (pneumonic plague).","Live in or have recently visited an area where there are plague infections.
Have been bitten by fleas.
Have handled animals that could be infected.
Have one or more painful lymph nodes.","Ciprofloxacin.
Levofloxacin.
Moxifloxacin.
Doxycycline.
Gentamicin.
Streptomycin.
Chloramphenicol.
Trimethoprim-sulfamethoxazole."
"Klinefelter Syndrome","A smaller penis.
Undescended testicles.
Atypical body proportions (like being really tall or having long legs and a short trunk).
Flat feet.
Radioulnar synostosis (when there’s an abnormal connection between the two main bones in your forearm).
Coordination issues.
Testicular failure (not making enough testosterone or sperm).
Increased breast tissue (gynecomastia) in teen or adult years.
Increased risk for blood clots.
Weaker bones or higher risk of fractures (called either osteopenia or osteoporosis as an adult).","Fetal development. Providers don’t often test fetuses for Klinefelter syndrome. If they detect the condition, it usually happens when running genetic tests (like chorionic villus sampling or amniocentesis) for other reasons.
Childhood or adolescence. A provider may recommend testing if they notice atypical growth or development (related to puberty) during these years.
Adulthood. Your provider may test for Klinefelter if you have low testosterone or fertility issues (trouble getting pregnant with your partner).","Hormone replacement.
Therapy.
Treatment for other medical conditions.
Surgery, which is rare for people with this condition."
"Bubonic Plague","Sudden high fever and chills.
Pains in the areas of the abdomen, arms and legs.
Headaches.
Large and swollen lumps in the lymph nodes (buboes) that develop and leak pus.","To diagnose bubonic plague, your healthcare provider will order blood or tissue sample tests. The samples will be sent to the lab for testing to see if Y. pestis is present.","Ciprofloxacin, levofloxacin and moxifloxacin.
Gentamicin.
Doxycycline."
"Androgen Insensitivity Syndrome","AIS is the result of an abnormal X-linked gene, meaning it’s a gene on the X chromosome and the mother passes it to her child. The gene can’t produce androgen receptors. These are cells that allow your body to respond to androgens, such as testosterone.","Blood tests check hormone levels, sex chromosomes and genetic abnormalities.
Imaging exams, such as ultrasound, can confirm the absence of female reproductive organs.","Surgery to repair their male genitals, such as hypospadias repair or orchiopexy (surgery to move undescended testicles to the scrotum).
Breast reduction surgery to remove excess breast tissue.
Hernia repair to close open or weakened tissue in their abdominal wall.
Hormone therapy with testosterone."
"Low Birth Weight","Chronic health issues during your pregnancy.
Having an infection during your pregnancy.
Taking certain medications during your pregnancy.
Using substances such as alcohol or tobacco during your pregnancy.
Not gaining or maintaining enough weight during your pregnancy.
Being pregnant with multiples.
Exposure to lead or air pollution.
Being Black or African American.
Being 17 or younger or 35 or older.
Preterm labor.","At your prenatal exams, your healthcare provider estimates the size of your baby in different ways. One way they keep track is by simply monitoring your weight gain. Another way they measure is by tracking fundal height. Fundal height is the distance from the top of your uterus to your pubic bone. Your provider may also use ultrasound to keep an eye on the fetus’s growth and development.","Gestational age.
Overall health.
Medical history.
Tolerance for medications, procedures or therapies."
"Skew Foot","Misaligned bones in their heel and ankle.
Visible turning inward of their metatarsal bones.
Gait (walking) issues in older children.","MRI.
X-ray.","Casts and splints.
Physical therapy (including stretching).
Special shoes that hold feet in the correct position."
"Metatarsus Adductus","Compression in the uterus during fetal development.
Not enough amniotic fluid (oligohydramnios).","Your child’s healthcare provider may notice a curve in your child’s foot during a well-baby care visit. Or, as your child begins to walk, you may notice signs of metatarsus adductus, like their feet turning in (pigeon toes or intoeing).","Casts or splints that providers change weekly.
Shoes that help reshape the foot’s tissues and bones."
"Thrombophilia","Seizures.
Sudden headache.
Difficulty talking or seeing.
Feeling weak on one side of your body.","Your medical history.
A physical exam.
Blood tests to check for a genetic cause of thrombophilia.
Tests that show what’s going on in your body.","Blood thinners (anticoagulants) like heparin, warfarin (Coumadin® or Jantoven®) or newer blood thinners like rivaroxaban or apixaban.
Thrombolytics (clot-dissolving drugs that providers use only in emergencies)."
"Tongue-Tie (Ankyloglossia)","Difficulty latching when breastfeeding.
Breastfeeding for extended periods of time.
Constant hunger.
Trouble gaining weight.
A clicking sound while your child is feeding.","In infants, ankyloglossia is often diagnosed by a pediatrician or a lactation consultant.","Bleeding.
Infection.
Scarring.
Injury to the saliva ducts in your mouth."
"Anorexia Nervosa","Having an intense fear of gaining weight.
Being unable to realistically assess your body weight and shape (having a distorted self-image).
Having an obsessive interest in food, calories and dieting.
Feeling overweight or “fat,” even if you’re underweight.
Fear of certain foods or food groups.
Being very self-critical.
Denying the seriousness of your low body weight and/or food restriction.
Feeling a strong desire to be in control.
Feeling irritable and/or depressed.
Experiencing thoughts of self-harm or suicide.","Restriction of calorie consumption leading to weight loss or a failure to gain weight resulting in a significantly low body weight based on that person’s age, sex, height and stage of growth.
Intense fear of gaining weight or becoming “fat.”
Having a distorted view of themselves and their condition. In other words, the individual is unable to realistically assess their body weight and shape believes their appearance has a strong influence on their self-worth and denies the medical seriousness of their current low body weight and/or food restriction.","Stabilizing weight loss.
Beginning nutrition rehabilitation to restore weight.
Eliminating binge eating and/or purging behaviors and other problematic eating patterns.
Treating psychological issues such as low self-esteem and distorted thinking patterns.
Developing long-term behavioral changes."
